Temperature,Pressure,Voltage,Theta
273.0,1.01694915254237,1.96213962416638,0.466770040720303
273.0,1.52542372881356,1.96228409660775,0.466142640510577
273.0,2.03389830508475,1.96234528618847,0.465829572462113
273.0,2.54237288135593,1.96237828536567,0.465641933402258
273.0,3.05084745762712,1.96239869247898,0.465516924653347
273.0,3.5593220338983,1.96241247443791,0.46542767377648
273.0,4.06779661016949,1.96242237063231,0.465360758074518
273.0,4.57627118644068,1.96242980419291,0.46530872582967
273.0,5.08474576271186,1.96243558377883,0.465267108410609
273.0,5.59322033898305,1.96244020126825,0.465233063331886
273.0,6.10169491525424,1.96244397230083,0.465204696238697
273.0,6.61016949152542,1.9624471083614,0.465180696015496
273.0,7.11864406779661,1.9624497562813,0.465160126366515
273.0,7.6271186440678,1.96245202108953,0.46514230080881
273.0,8.13559322033898,1.96245397984286,0.46512670456649
273.0,8.64406779661017,1.96245569032266,0.465112944044737
273.0,9.15254237288136,1.96245719668637,0.46510071315335
273.0,9.66101694915254,1.96245853324625,0.465089770269459
273.0,10.1694915254237,1.96245972705988,0.465079922114212
273.0,10.6779661016949,1.9624607997456,0.46507101223788
273.0,11.1864406779661,1.96246176878014,0.465062912646544
273.0,11.6949152542373,1.96246264844247,0.465055517613885
273.0,12.2033898305085,1.96246345051138,0.465048739040542
273.0,12.7118644067797,1.96246418478849,0.465042502927591
273.0,13.2203389830508,1.9624648594954,0.465036746664079
273.0,13.728813559322,1.96246548157913,0.465031416917513
273.0,14.2372881355932,1.96246605694935,0.46502646797652
273.0,14.7457627118644,1.96246659066466,0.46502186043649
273.0,15.2542372881356,1.96246708708024,0.465017560148171
273.0,15.7627118644068,1.96246754996575,0.465013537369809
273.0,16.271186440678,1.96246798260037,0.465009766078307
273.0,16.7796610169492,1.96246838784995,0.465006223405648
273.0,17.2881355932203,1.96246876823002,0.465002889174807
273.0,17.7966101694915,1.96246912595768,0.464999745515238
273.0,18.3050847457627,1.9624694629945,0.464996776542451
273.0,18.8135593220339,1.96246978108224,0.464993968089574
273.0,19.3220338983051,1.96247008177281,0.464991307481299
273.0,19.8305084745763,1.96247036645336,0.464988783342619
273.0,20.3389830508475,1.96247063636758,0.464986385436256
273.0,20.8474576271186,1.96247089263377,0.464984104523886
273.0,21.3559322033898,1.96247113626021,0.464981932247196
273.0,21.864406779661,1.96247136815837,0.464979861025532
273.0,22.3728813559322,1.96247158915423,0.464977883967521
273.0,22.8813559322034,1.96247179999809,0.464975994794463
273.0,23.3898305084746,1.96247200137299,0.464974187773729
273.0,23.8983050847458,1.96247219390211,0.464972457660655
273.0,24.4067796610169,1.9624723781552,0.464970799647708
273.0,24.9152542372881,1.96247255465411,0.464969209319868
273.0,25.4237288135593,1.96247272387778,0.464967682615377
273.0,25.9322033898305,1.96247288626654,0.464966215791094
273.0,26.4406779661017,1.96247304222592,0.464964805391857
273.0,26.9491525423729,1.96247319213,0.464963448223311
273.0,27.4576271186441,1.96247333632444,0.464962141327755
273.0,27.9661016949153,1.96247347512907,0.464960881962624
273.0,28.4745762711864,1.96247360884032,0.464959667581281
273.0,28.9830508474576,1.96247373773328,0.464958495815822
273.0,29.4915254237288,1.96247386206357,0.464957364461673
273.0,30.0,1.96247398206909,0.464956271463741
275.040816326531,1.01694915254237,1.95344132867168,0.442361620149037
275.040816326531,1.52542372881356,1.95357976087081,0.441670998793248
275.040816326531,2.03389830508475,1.95363779535333,0.441326496140636
275.040816326531,2.54237288135593,1.95366885504322,0.441120052391441
275.040816326531,3.05084745762712,1.95368794900638,0.440982530492166
275.040816326531,3.5593220338983,1.95370078285847,0.440884353050344
275.040816326531,4.06779661016949,1.95370996231984,0.44081074865226
275.040816326531,4.57627118644068,1.95371683502377,0.440753517775756
275.040816326531,5.08474576271186,1.95372216376025,0.44070774377313
275.040816326531,5.59322033898305,1.95372641092944,0.440670299387622
275.040816326531,6.10169491525424,1.95372987236236,0.440639100593209
