Temperature,Current,Voltage,Theta,Hflux
273.0,3.06122448979592,1.68365774858055,0.169288905589408,0.00052879
273.0,6.12244897959184,1.72252465749416,0.208419090357675,0.0011
273.0,9.18367346938776,1.74697400010108,0.235377460986145,0.0016
273.0,12.2448979591837,1.76544855093909,0.256593998728281,0.0021
273.0,15.3061224489796,1.78062330672176,0.274359181590372,0.0026
273.0,18.3673469387755,1.79369941426762,0.289783646120404,0.0032
273.0,21.4285714285714,1.80532183754439,0.303499450706855,0.0037
273.0,24.4897959183673,1.81587775046844,0.315904268032155,0.0042
273.0,27.5510204081633,1.82561814662369,0.327266272691592,0.0048
273.0,30.6122448979592,1.83471518573221,0.33777577366487,0.0053
273.0,33.6734693877551,1.8432921801864,0.347573216494068,0.0058
273.0,36.734693877551,1.85144053908841,0.356765516999855,0.0063
273.0,39.7959183673469,1.85922993998996,0.365436146868498,0.0069
273.0,42.8571428571429,1.86671473968175,0.373651653190996,0.0074
273.0,45.9183673469388,1.87393817970048,0.38146603485999,0.0079
273.0,48.9795918367347,1.88093523930028,0.388923774739603,0.0085
273.0,52.0408163265306,1.88773462691559,0.396061997813806,0.009
273.0,55.1020408163265,1.89436020486687,0.402912043300467,0.0095
273.0,58.1632653061224,1.90083203066026,0.409500633241477,0.01
273.0,61.2244897959184,1.90716713251528,0.415850756710762,0.0106
273.0,64.2857142857143,1.91338009666176,0.421982349459639,0.0111
273.0,67.3469387755102,1.919483518756,0.427912823714995,0.0116
273.0,70.4081632653061,1.9254883555187,0.433657486410672,0.0122
273.0,73.469387755102,1.93140420197191,0.439229873128483,0.0127
273.0,76.530612244898,1.93723951242208,0.444642017507665,0.0132
273.0,79.5918367346939,1.94300177836999,0.449904670651443,0.0137
273.0,82.6530612244898,1.94869767305765,0.455027481360043,0.0143
273.0,85.7142857142857,1.95433316989878,0.460019145363187,0.0148
273.0,88.7755102040816,1.95991364026606,0.464887529791293,0.0153
273.0,91.8367346938775,1.96544393481403,0.469639777698714,0.0159
273.0,94.8979591836735,1.97092845156105,0.474282396388708,0.0164
273.0,97.9591836734694,1.97637119324027,0.478821332487679,0.0169
273.0,101.020408163265,1.981775815891,0.483262036105219,0.0175
273.0,104.081632653061,1.98714567025139,0.487609515946694,0.018
273.0,107.142857142857,1.99248383719843,0.491868386880695,0.0185
273.0,110.204081632653,1.99779315823586,0.496042911178756,0.019
273.0,113.265306122449,2.00307626184034,0.500137034420155,0.0196
273.0,116.326530612245,2.00833558632482,0.504154416876451,0.0201
273.0,119.387755102041,2.01357339975943,0.508098461047933,0.0206
273.0,122.448979591837,2.01879181739442,0.511972335909711,0.0212
273.0,125.510204081633,2.02399281695334,0.515778998332446,0.0217
273.0,128.571428571429,2.02917825210304,0.519521212067397,0.0222
273.0,131.632653061224,2.03434986435641,0.523201564623731,0.0227
273.0,134.69387755102,2.03950929362308,0.526822482315364,0.0233
273.0,137.755102040816,2.04465808758955,0.530386243712681,0.0238
273.0,140.816326530612,2.04979771008236,0.533894991699698,0.0243
273.0,143.877551020408,2.05492954854499,0.537350744308227,0.0249
273.0,146.938775510204,2.06005492073991,0.540755404476328,0.0254
273.0,150.0,2.06517508077132,0.544110768857887,0.0259
275.040816326531,3.06122448979592,1.67850637607868,0.160438196758136,0.00052879
275.040816326531,6.12244897959184,1.71755828421566,0.197522589625912,0.0011
275.040816326531,9.18367346938776,1.74206376610099,0.223071531277525,0.0016
275.040816326531,12.2448979591837,1.76053731523731,0.243178832727362,0.0021
275.040816326531,15.3061224489796,1.77567730445227,0.260015221937564,0.0026
275.040816326531,18.3673469387755,1.7886956041286,0.274633269508621,0.0032
275.040816326531,21.4285714285714,1.80024303604452,0.287631988752955,0.0037
275.040816326531,24.4897959183673,1.81071033915295,0.299388261356029,0.0042
275.040816326531,27.5510204081633,1.82035084251898,0.310156241294058,0.0048
275.040816326531,30.6122448979592,1.82933831943935,0.320116287873071,0.0053
275.040816326531,33.6734693877551,1.83779724248416,0.329401503905891,0.0058
